20,31,2013-01,Beca de Especialización Pedagógica - Especialistas,Beca Docente Internacional,Beca Docente,50,2,,24/06/2013,27/06/2013,24/06/2013,13/07/2013,04/06/2013,05/07/2013,0,99,RDE N° 131-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
21,34,2013-02,Beca Perú (Lima - Callao),Beca Peru,Beca Peru,1092,2,,24/06/2013,26/07/2013,01/08/2013,12/08/2013,24/06/2013,09/08/2013,16,45,RDE N° 138-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
22,32,2013-01,Beca de Especialización Pedagógica - Docentes,Beca Docente Nacional,Beca Docente,500,2,,01/07/2013,30/07/2013,01/07/2013,30/07/2013,22/07/2013,30/07/2013,0,99,RDE N° 131-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
23,36,2014-01,Beca 18 Internacional Francia,Modalidad Pregrado Internacional,Beca Pregrado Internacional,50,2,,22/07/2013,20/09/2013,22/07/2013,20/09/2013,22/07/2013,20/09/2013,0,99,RDE N° 154-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
24,37,2013-01,Beca Especial para el Adolescente,Albergue,Becas Albergue,100,2,,09/07/2013,28/08/2013,09/07/2013,28/08/2013,09/07/2013,28/08/2013,0,23,RDE N° 139-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
25,38,2014-01,Beca 18 Internacional Honduras,Modalidad Pregrado Internacional,Beca Pregrado Internacional,50,1,31/12/2013,14/10/2013,15/11/2013,18/11/2013,30/11/2013,14/10/2013,01/12/2014,18,23,RDE N° 176-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
26,40,2013-04,Presidente de la República,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,464,1,,23/09/2013,23/11/2013,23/09/2013,27/11/2013,23/09/2013,16/12/2013,,40,RDE N° 220-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
27,30,2014-01,Beca 18 FFAA,Licenciados FFAA,Beca FFAA,2000,2,,22/10/2013,15/12/2013,22/10/2013,05/04/2014,22/10/2013,31/01/2014,,29,RDE N° 237-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
28,53,2014-01,Presidente de la República,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,500,1,31/12/2014,17/01/2014,05/05/2014,17/03/2014,02/06/2014,17/01/2014,05/04/2014,,33,RDE N° 022-2014-MINEDU-VMGI-OBEC-PRONABEC, RDE N° 04011-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
29,54,2014-01,Beca Perú (Lima - Callao),Beca Peru,Beca Peru,1154,2,,12/02/2014,09/03/2014,06/03/2014,12/03/2014,12/02/2014,12/03/2014,16,45,RDE N° 042-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
30,334,2022   ,Beca inclusión para carreras universitarias y profesionales técnicas - Convocatoria 2022,Beca Inclusion Carreras Universitarias,Beca Inclusion para Carreras Universitarias,,,,,,,,,,,,RDE N° 101-2022-MINEDU/VMGI-PRONABEC,14/04/2026 14:01:22
31,8,2014-01,Beca Alianza del Pacífico,Beca Alianza del Pacifico ,Beca Alianza del Pacífico,,1,,19/02/2014,19/02/2014,19/02/2014,19/02/2014,19/02/2014,19/02/2014,,,RDE N° 326-2013-MINEDU-VMGI-OBEC-PRONABEC / RDE N° 315 Y 385-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
32,55,2014-01,Beca Docente de Postgrado para estudios de Maestría en Ciencias de la Educación en el Perú,Beca Maestría en Educación  Docente,Becas Postgrado Nacional,1250,1,31/12/2014,11/03/2014,01/05/2015,17/03/2014,01/05/2015,11/03/2014,01/05/2015,,50,RDE N° 078-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
