1,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,ARQUITECTURA,REGISTRO COMPLETO,2016-08,2016-08,2017-01,LOS OLIVOS,14/04/2026 14:01:21
2,1era. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,ARQUITECTURA,REGISTRO COMPLETO,2016-01,2016-01,,CALLAO,14/04/2026 14:01:21
3,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,ARQUITECTURA,REGISTRO COMPLETO,2016-08,2016-08,2016-08,BREÑA,14/04/2026 14:01:21
4,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,EN PROCESO DE REGISTRO,,2016-08,,,14/04/2026 14:01:21
5,1era. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-02,2016-01,2016-02,LOS OLIVOS,14/04/2026 14:01:21
6,1era. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-01,2015-12,,LOS OLIVOS,14/04/2026 14:01:21
7,1era. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-02,2016-01,2016-02,PUEBLO LIBRE,14/04/2026 14:01:21
8,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-09,2016-08,2016-09,SAN BORJA,14/04/2026 14:01:21
9,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-08,2016-08,2017-01,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:21
10,2da. convocatoria,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,SEDE SAN MIGUEL,INGENIERIA CIVIL,REGISTRO COMPLETO,2016-09,2016-08,2016-09,BELLAVISTA,14/04/2026 14:01:21
