38,3o7E0,,,PADRE,No Tiene,Tiene,no tiene,700,700,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
39,w6NLy,,,PADRE,Tiene,Tiene,Tiene,900,800,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
40,OMpD7,,,PADRE,No Tiene,No tiene,NO TIENE,200,200,2015-12,Tiene,FEMENINO,NAUTA,14/04/2026 14:01:19
41,1MRm3,,,PADRE,No Tiene,No tiene,NO TIENE,150,150,2015-12,Tiene,MASCULINO,UTICYACU,14/04/2026 14:01:19
42,E21Nv,,,PADRE,Tiene,Tiene,Tiene,1000,900,2015-12,Tiene,MASCULINO,LIMA,14/04/2026 14:01:19
43,rjKmp,,,PADRE,Tiene,Tiene,Tiene,1100,1100,2015-12,Tiene,MASCULINO,,14/04/2026 14:01:19
44,oeW3X,,,PADRE,Tiene,Tiene,Tiene,900,900,2015-12,Tiene,FEMENINO,CARABAYLLO,14/04/2026 14:01:19
45,Ddkgv,,,PADRE,Tiene,Tiene,andres.10.07,0,0,2015-12,Tiene,MASCULINO,PARAS,14/04/2026 14:01:19
46,E210v,1era. convocatoria,,PADRE,No Tiene,Tiene,No Tiene,2600,2500,2015-12,Tiene,MASCULINO,PUEBLO LIBRE,14/04/2026 14:01:19
47,GWV1d,,,PADRE,Tiene,Tiene,Tiene,450,450,2015-12,Tiene,FEMENINO,ATE,14/04/2026 14:01:19
48,zedGQ,,,PADRE,No Tiene,No tiene,No Tiene,0,0,2015-12,Tiene,FEMENINO,ATE,14/04/2026 14:01:19
49,WZybW,,,PADRE,Tiene,Tiene,Tiene,700,600,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
50,bxXj,,,PADRE,Tiene,Tiene,Tiene,1200,1100,2015-12,Tiene,FEMENINO,COMAS,14/04/2026 14:01:19
51,RD3Wl,,,PADRE,Tiene,Tiene,Tiene,750,750,2015-12,Tiene,FEMENINO,CHORRILLOS,14/04/2026 14:01:19
